Case Number,General Location,lon,lat,Nature,Date/Time Occurred,Date/Time Reported,General Location ,,
2022PU00901,CoRec,40.43119,-86.9138099999999,Theft,8/11/2022 20:17,8/11/2022 20:39,CoRec,,
2022PU00902,5th Street/ N University Street,40.429334,-86.916814,Drug Law Violation,8/11/2022 21:36,8/11/2022 22:00,5th Street/ N University Street,,
CAD# 2022-103613,N Grant Street/Northwestern Ave,40.427991,-86.910434,Reckless Driver,8/10/2022 21:10,8/10/2022 21:10,N Grant Street/Northwestern Ave,,
2022PU00892,North University Street & 4th Street,0,0,-86.9264599610363,Drug Law Violation/Driving While Suspended,8/10/2022 8:45,8/10/2022 9:19,North University Street & 4th Street,
2022PU00888,Harrison Hall,,40.4242956807326,Harassment,5/27/2022 8:00,8/8/2022 15:35,Harrison Hall,,
2022PU00891,Provenance Apartments,40.424141,-86.938821,Theft,8/4/2022 9:52,8/9/2022 17:29,Provenance Apartments,,
2022PU00886,1100 Blk 3rd Street,40.430795,-86.9075399999999,Rape,7/28/2022 9:56,8/8/2022 10:00,1100 Blk 3rd Street,,
2022PU00887,Stewart Center,40.2784029963218,-81.7535399792333,Theft-EMPV,8/8/2022 16:16,8/8/2022 16:30,Stewart Center,,
2022PU00879,Materials Science and Electrical Engineering,40.4293299887465,-86.9126469580981,Trespass,8/5/2022 7:50,8/5/2022 8:17,Materials Science and Electrical Engineering,,
2022PU00883,Shreve Hall,40.4265400513198,-86.9257599007924,Theft-Bike,7/23/2022 18:00,8/6/2022 14:40,Shreve Hall,,
2022PU00884,1300 Blk Cherry Ln,40.439955,-86.926859,-86.9264599610363,Drug Law Violation,8/7/2022 0:47,8/7/2022 1:32,1300 Blk Cherry Ln,
CSA,Harrison Hall,,40.4242956807326,Harassment,8/7/2022 18:30,8/7/2022 19:00,Harrison Hall,,
CAD# 2022-100881,500 Blk Northwestern Ave,40.427991,-86.910434,Reckless Driver,8/5/2022 3:45,8/5/2022 3:45,500 Blk Northwestern Ave,,
2022PU00871,Pickett Park,40.430795,-86.9075399999999,-86.9264599610363,Damaged Property,8/3/2000 0:00,8/3/2022 7:00,Pickett Park,
2022PU00872,Harrison Hall,,40.4242956807326,Harassment,8/2/2022 23:00,8/3/2022 19:48,Harrison Hall,,
2022PU00859,Stewart Center,40.2784029963218,-81.7535399792333,Harassment,7/29/2022 14:14,7/29/2022 14:36,Stewart Center,,
2022PU00866,Hi-Vine Apartments,40.4260972202148,-86.9080204916423,Drug Law Violation,8/2/2022 12:07,8/2/2022 12:16,Hi-Vine Apartments,,
2022PU00867,CoRec,40.43119,-86.9138099999999,Theft,8/2/2022 20:25,8/2/2022 20:33,CoRec,,
2022PU00870,US 231/ Ahlers Dr,0,0,Drug Law Violation,8/3/2022 1:44,8/3/2022 2:12,US 231/ Ahlers Dr,,
CAD# 2022-099601,1010 David Ross Rd,40.4346213197368,-86.9252384146403,Burglary,8/2/2022 12:08,8/2/2022 12:08,1010 David Ross Rd,,
2022PU00862,Hillenbrand Hall,40.4265400513198,-86.9257599007924,Theft-Bike,7/29/2022 17:30,8/1/2022 10:30,Hillenbrand Hall,,
2022PU00863,Material Sciences and Electrical Engineering,40.4293299887465,-86.9126469580981,Voyeurism,8/1/2022 12:23,8/1/2022 14:01,Material Sciences and Electrical Engineering,,
12 Disciplinary Referral,Hillenbrand Hall,40.4265400513198,-86.9257599007924,Liquor Law Violation,7/30/2022 3:00,7/30/2022 4:18,Hillenbrand Hall,,
2022PU00858,Frieda Parker Hall,40.428434,-86.919266,Theft,7/29/2022 12:45,7/29/2022 13:10,Frieda Parker Hall,,
2022PU00860,McCutcheon Parking Garage,40.42428465523,-86.9283048956498,Minor Possession,7/30/2022 0:24,7/30/2022 1:00,McCutcheon Parking Garage,,
2022PU00861,CoRec,40.43119,-86.9138099999999,Fondling,7/30/2022 13:50,7/30/2022 14:47,CoRec,,
2022PU00855,Winifred Parker Hall,40.4278359983246,-86.92085602643,Intimidation,7/24/2022 18:00,7/26/2022 16:56,Winifred Parker Hall,,
2022PU00856,"West State Street, Marsteller Street",40.4236149598297,-86.9137474833936,Drug Law Violation,7/28/2022 3:22,7/28/2022 4:02,"West State Street, Marsteller Street",,
2022PU00854,Earhart Hall,40.4265400513198,-86.9257599007924,Battery (Simple),7/25/2022 19:00,7/25/2022 20:55,Earhart Hall,,
2022PU00838,Mechanical Engineering,40.43119,-86.9138099999999,Fondling,7/15/2022 14:00,7/22/2022 8:41,Mechanical Engineering,,
2022PU00841,Honors College North,40.43119,-86.9138099999999,Theft-EMPV,7/22/2022 20:00,7/22/2022 21:44,Honors College North,,
2022PU00842,Ross-Ade Stadium,40.43341,-86.9181399999999,Trespassing,7/23/2022 1:41,7/23/2022 1:53,Ross-Ade Stadium,,
2022PU00844,Ross-Ade Stadium,40.43341,-86.9181399999999,Trespassing,7/23/2022 3:27,7/23/2022 3:40,Ross-Ade Stadium,,
2022PU00846,1022 1st Street West Lafayette,40.4255000038191,-86.9188459622295,Criminal Mischief/Battery,7/23/2022 15:45,7/23/2022 16:32,1022 1st Street West Lafayette,,
2022PU00847,400 Blk N Mccutcheon Dr,40.4249783257457,-86.9289397234139,Statutory Rape,7/21/2022 17:33,7/23/2022 17:58,400 Blk N Mccutcheon Dr,,
CAD# 2022-094106,Northwestern/W Stadium Ave,40.431356,-86.913834,Reckless Driver,7/21/2022 16:04,7/21/2022 16:04,Northwestern/W Stadium Ave,,
CAD# 2022-094324,Griffin Hall,40.428434,-86.919266,Drug Law Violation,7/22/2022 1:01,7/22/2022 1:01,Griffin Hall,,
CAD# 2022-094345,201 Waldron Street,40.426356,-86.918029,Burglary,7/22/2022 2:58,7/22/2022 2:58,201 Waldron Street,,
2022PU00833,Hansen Life Sciences Research Building,40.430795,-86.9075399999999,Dating Violence,7/20/2022 13:52,7/20/2022 14:25,Hansen Life Sciences Research Building,,
2022PU00828,Earhart Hall,40.4265400513198,-86.9257599007924,-86.9264599610363,Hit & Run,7/18/2022 5:30,7/19/2022 9:35,Earhart Hall,
2022PU00829,Harrison Street Garage,,40.4242956807326,Criminal Mischief,7/19/2022 14:00,7/19/2022 15:44,Harrison Street Garage,,
2022PU00830,Physics Building,40.4300859945035,-86.9136449913092,Theft-Bike,7/19/2022 18:30,7/19/2022 18:39,Physics Building,,
2022PU00831,Frieda Parker Hall,40.428434,-86.919266,Drug Law Violation,7/19/2022 18:24,7/19/2022 19:08,Frieda Parker Hall,,
2022PU00832,"2nd Street, Waldron Street",40.424288,-86.917805,Criminal Mischief,7/19/2022 21:09,7/19/2022 21:47,"2nd Street, Waldron Street",,
CAD# 2022-092972,Crosswalk Commons,40.4346610048947,-86.9234710125827,-86.9264599610363,Trespassing,7/19/2022 10:40,7/19/2022 10:40,Crosswalk Commons,
2022PU00824,Harrison Street Garage,,40.4242956807326,Fondling,7/4/2022 21:00,7/18/2022 13:17,Harrison Street Garage,,
2022PU00825,Hawkins Hall,40.43119,-86.9138099999999,Theft-EMPV,7/17/2022 19:00,7/18/2022 13:24,Hawkins Hall,,
2022PU00827,Flex Lab,40.4236786060862,-86.9231864178781,Theft,7/17/2022 18:00,7/18/2022 19:59,Flex Lab,,
CAD# 2022-092810,W State Street/ US 231,0,0,Reckless Driver,7/18/2022 23:02,7/18/2022 23:02,W State Street/ US 231,,
2022PU00817,Beering Hall,40.4347201970357,-86.9197899321652,Theft-Bike,7/14/2022 14:40,7/15/2022 14:19,Beering Hall,,
2022PU00818,CoRec,40.43119,-86.9138099999999,-86.9264599610363,Theft,7/13/2022 19:30,7/15/2022 14:44,CoRec,
2022PU00819,Harrison Hall,,40.4242956807326,Harassment,7/8/2022 21:00,7/16/2022 14:00,Harrison Hall,,
2022PU00820,Hawkins Hall,40.43119,-86.9138099999999,Criminal Mischief,7/17/2022 0:39,7/17/2022 0:39,Hawkins Hall,,
2022PU00821,100 Blk N Russell,40.4257439720142,-86.9190395421868,Rape/ Dating Violence,9/1/2016 13:36,7/17/2022 15:31,100 Blk N Russell,,
2022PU00822,CoRec,40.43119,-86.9138099999999,Hit & Run,7/17/2022 17:59,7/17/2022 18:00,CoRec,,
2022PU00823,Beering Hall,40.4347201970357,-86.9197899321652,,Criminal Mischief,7/17/2022 19:25,7/17/2022 19:48,Beering Hall,
CSA,Harrison Hall,,40.4242956807326,Harassment,7/9/22 Unknown Time,7/14/2022 8:00,Harrison Hall,,
2022PU00807,Cherry Ln/ John R. Wooden Dr,0,0,Drug Law Violation,7/13/2022 2:23,7/13/2022 3:16,Cherry Ln/ John R. Wooden Dr,,
2022PU00803,Honors College North,40.43119,-86.9138099999999,Simple Assault,7/11/2022 10:38,7/11/2022 11:40,Honors College North,,
2022PU00804,Honors College North,40.43119,-86.9138099999999,Drug Law Violation,7/11/2022 10:48,7/11/2022 12:32,Honors College North,,
2022PU00795,Physical Facilities,40.43119,-86.9138099999999,Fraud,7/8/2022 15:02,7/8/2022 15:04,Physical Facilities,,
2022PU00796,Hillenbrand Hall,40.4265400513198,-86.9257599007924,Theft,7/7/2022 15:00,7/8/2022 15:28,Hillenbrand Hall,,
2022PU00800,W State Street/ N Russell Street,0,0,Operating While Intoxicated/ Driving While Suspended,7/10/2022 0:02,7/10/2022 1:04,W State Street/ N Russell Street,,
2022PU00801,Bindley Bioscience Center,40.4243357281879,-86.9213951006711,Theft-Bike,7/10/2022 17:30,7/10/2022 22:46,Bindley Bioscience Center,,
2022PU00793,Hawkins Hall,40.43119,-86.9138099999999,Theft-Bike,7/5/2022 16:30,7/6/2022 17:11,Hawkins Hall,,
2022PU00794,US HWY 231/W State Street,0,0,Drug Law Violation,7/7/2022 13:01,7/7/2022 13:21,US HWY 231/W State Street,,
2022PU00791,1100 Blk W Stadium Ave,40.4314919116137,-86.9204931410064,Theft,7/5/2022 22:00,7/6/2022 10:24,1100 Blk W Stadium Ave,,
CAD# 2022-086303,Grant Street/ W State Street,0,0,Reckless Driver,7/4/2022 22:43,7/4/2022 22:43,Grant Street/ W State Street,,
2022PU00784,Wood Street Garage,40.4221320590961,-86.9107047757926,Criminal Mischief,7/3/2022 16:50,7/3/2022 17:07,Wood Street Garage,,
2022PU00785,Waldron Street/ 5th Street,0,0,Resisting Law Enforcement/ Public Intoxication/ Residential Entry,7/4/2022 1:04,7/4/2022 1:24,Waldron Street/ 5th Street,,
2022PU00786,Hawkins Garage,40.43119,-86.9138099999999,Criminal Mischief,7/4/2022 2:38,7/4/2022 2:39,Hawkins Garage,,
2022-083806,200 Blk Hasley Dr,40.4199873572195,-86.9297403765918,Hit & Run,6/29/2022 14:31,6/29/2022 14:31,200 Blk Hasley Dr,,
2022PU00780,Wilmeth Active Learning Center,40.4259350455486,-86.9136946159228,Theft-Bike,6/29/2022 23:49,6/30/2022 0:03,Wilmeth Active Learning Center,,
CAD# 2022-083314,Chaney-Hale Hall,40.430795,-86.9075399999999,Theft-Bike,6/28/2022 11:14,6/28/2022 11:14,Chaney-Hale Hall,,
CAD# 2022-083632,US HWY 231/S River Rd,0,0,Reckless Driver,6/29/2022 6:47,6/29/2022 6:47,US HWY 231/S River Rd,,
2022PU00778,"Northwestern Ave, West Stadium Ave",40.4315057158966,-86.9238288447148,Driving While Suspended,6/28/2022 22:46,6/28/2022 23:42,"Northwestern Ave, West Stadium Ave",,
2022PU00779,Krannert,40.43119,-86.9138099999999,Criminal Mischief/ Theft,6/29/2022 1:26,6/29/2022 1:29,Krannert,,
2022PU00772,CoRec Parking Lot,40.43119,-86.9138099999999,Hit & Run,6/24/2022 20:03,6/24/2022 20:18,CoRec Parking Lot,,
2022PU00774,Northwestern Ave/ Dodge Street,40.4290670176369,-86.9117734487278,Drug Law Violation,6/25/2022 22:45,6/25/2022 22:45,Northwestern Ave/ Dodge Street,,
2022PU00775,1000 Blk W Stadium Dr,40.4314919116137,-86.9204931410064,Intimidation,6/26/2022 0:55,6/26/2022 1:17,1000 Blk W Stadium Dr,,
2022PU00777,W State Street/ Provenance Blvd.,40.424293,-86.933941,Operating While Intoxicated,6/27/2022 1:05,6/27/2022 1:40,W State Street/ Provenance Blvd.,,
