Case Number,General Location,lon,lat,Nature,Date/Time Occurred,Date/Time Reported,General Location ,,
2022PU01079,Wilmeth Active Learning Center,40.43119,-86.9138099999999,Theft-Bike,9/5/2022 12:19,9/5/2022 13:31,Wilmeth Active Learning Center,,
2022PU01080,Tarkington Hall,40.4314200582128,-86.91988992827,Theft-Bike,9/5/2022 16:17,9/5/2022 16:20,Tarkington Hall,,
2022PU01081,McCutcheon Hall,40.42428465523,-86.9283048956498,Theft,9/3/2022 14:00,9/5/2022 20:40,McCutcheon Hall,,
2022PU01083,Windsor Hall,40.426270028309,-86.9202899126896,Harassment,9/5/2022 18:30,9/5/2022 23:59,Windsor Hall,,
CAD# 2022-115845,250 N McCutcheon Dr,40.42428465523,-86.9283048956498,Drug Law Violation,9/4/2022 1:58,9/4/2022 1:58,250 N McCutcheon Dr,,
CAD# 2022-115763,US HWY 231/S River Rd,0,0,Reckless Driver,9/3/2022 22:53,9/3/2022 22:53,US HWY 231/S River Rd,,
CAD# 2022-114654,Ross-Ade Stadium,40.43341,-86.9181399999999,Sexual Assault,9/1/2022 20:28,9/1/2022 20:28,Ross-Ade Stadium,,
CAD# 2022-114307,Meredith Hall,40.4263600499491,-86.9241149103847,Theft,9/1/2022 11:43,9/1/2022 11:43,Meredith Hall,,
CAD# 2022-114523,Hawkins Hall,40.43119,-86.9138099999999,Theft,9/1/2022 17:07,9/1/2022 17:07,Hawkins Hall,,
CAD# 2022-114633,Northwestern Ave/ Dodge Street,40.4290670176369,-86.9117734487278,Public Intoxication,9/1/2022 20:18,9/1/2022 20:18,Northwestern Ave/ Dodge Street,,
2022PU01035,Earhart Hall,40.4265400513198,-86.9257599007924,Drug Law Violation,9/1/2022 10:22,9/1/2022 10:52,Earhart Hall,,
2022PU01036,Harrsion Street Parking Garage,40.4251901812891,-86.8961308147003,Theft,9/1/2022 10:39,9/1/2022 10:52,Harrsion Street Parking Garage,,
2022PU01037,Stewart Center,40.2784029963218,-81.7535399792333,Theft,8/31/2022 13:20,9/1/2022 11:02,Stewart Center,,
2022PU01038,Cary Quadrangle,40.4329305135742,-86.9179799335975,Blackmail,9/1/2022 13:30,9/1/2022 14:50,Cary Quadrangle,,
2022PU01040,300 Blk Centennial Mall Dr,40.4259350455486,-86.9136946159228,Theft,9/1/2022 18:20,9/1/2022 18:29,300 Blk Centennial Mall Dr,,
2022PU01041,3rd Street/ N Martin Jischke Dr,40.428519,-86.922616,Minor Possession,9/1/2022 20:17,9/1/2022 19:13,3rd Street/ N Martin Jischke Dr,,
2022PU01043,Ross Ade Stadium,40.43341,-86.9181399999999,Public Intoxication,9/1/2022 21:16,9/1/2022 21:25,Ross Ade Stadium,,
2022PU01045,Cary Quadrangle,40.4329305135742,-86.9179799335975,Public Intoxication,9/1/2022 23:51,9/2/2022 0:31,Cary Quadrangle,,
CAD#2022-114055,Wood Street Parking Garage,40.42214,-86.9100899999999,Reckless  Driver,8/31/2022 22:24,8/31/2022 22:24,Wood Street Parking Garage,,
CAD#2022-114136,W State Street/ McCormick Rd,40.424364,-86.930676,Reckless Driver,9/1/2022 1:46,9/1/2022 1:46,W State Street/ McCormick Rd,,
CAD#2022-113762,Wiley Hall,40.4303800316669,-86.9215849167302,Theft Property,8/31/2022 13:29,8/31/2022 13:29,Wiley Hall,,
CAD#2022-113684,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Theft of Bike,8/31/2022 11:13,8/31/2022 11:13,300 N Salisbury Street,,
CSA,McCutcheon Hall,40.42428465523,-86.9283048956498,Burglary,8/31/2022 15:00,9/1/2022 17:35,McCutcheon Hall,,
8 Disciplinary Referral,Hillenbrand Hall,40.4265400513198,-86.9257599007924,Liquor Law Violation,8/19/2022 0:00,8/19/2022 0:29,Hillenbrand Hall,,
9 Disciplinary Referral,Hillenbrand Hall,40.4265400513198,-86.9257599007924,Liquor Law Violation,8/19/2022 0:30,8/19/2022 1:03,Hillenbrand Hall,,
7 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/19/2022 22:45,8/19/2022 23:55,300 N Salisbury Street,,
2 Disciplinary Referral,Owen Hall,40.4329750269805,-86.92066990627,Liquor Law Violation,8/20/2022 14:30,8/20/2022 14:58,Owen Hall,,
5 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/20/2022 21:45,8/20/2022 23:06,300 N Salisbury Street,,
7 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/20/2022 22:15,8/20/2022 23:04,300 N Salisbury Street,,
3 Disciplinary Referral,250 McCutcheon Dr,40.42428465523,-86.9283048956498,Drug Law Violation,8/20/2022 22:45,8/22/2022 5:30,250 McCutcheon Dr,,
6 Disciplinary Referral,410 Steely Street,40.4193715,-86.91097025,Liquor Law Violation,8/20/2022 23:30,8/21/2022 0:24,410 Steely Street,,
5 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/21/2022 0:00,8/21/2022 2:02,300 N Salisbury Street,,
7 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/21/2022 0:15,8/21/2022 2:00,300 N Salisbury Street,,
8 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/21/2022 0:30,8/21/2022 2:08,300 N Salisbury Street,,
1 Disciplinary Referral,Windsor Halls,40.426270028309,-86.9202899126896,Liquor Law Violation,8/21/2022 1:00,8/22/2022 15:39,Windsor Halls,,
4 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/21/2022 1:30,8/21/2022 2:14,300 N Salisbury Street,,
5 Disciplinary Referral,Wiley Hall,40.4303800316669,-86.9215849167302,Liquor Law Violation,8/21/2022 22:00,8/22/2022 0:26,Wiley Hall,,
10 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/23/2022 22:45,8/24/2022 0:22,300 N Salisbury Street,,
2 Disciplinary Referral,Meredith Hall,40.4263600499491,-86.9241149103847,Liquor Law Violation,8/26/2022 23:00,8/27/2022 11:39,Meredith Hall,,
10 Disciplinary Referral,300 N Salisbury Street,40.4258170073972,-86.9053240245698,Liquor Law Violation,8/26/2022 23:30,8/27/2022 0:10,300 N Salisbury Street,,
3 Disciplinary Referral,Tarkington Hall,40.4314200582128,-86.91988992827,Liquor Law Violation,8/27/2022 23:15,8/28/2022 2:51,Tarkington Hall,,
